,Series_reference,Period,Data_value,Supp,STATUS,UNITS,Magnitude,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5,Zeros,Suare_of_magnitude
80,ECTA.S19AW,2009.03,24381.1,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,Credit,0,0.0,0.0,0,36
81,ECTA.S19AW,2010.03,24135.6,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,Credit,0,0.0,0.0,0,36
82,ECTA.S19AW,2011.03,24851.6,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,Credit,0,0.0,0.0,0,36
83,ECTA.S19AW,2012.03,26411.2,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,Credit,0,0.0,0.0,0,36
84,ECTA.S19AW,2013.03,27504.1,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,Credit,0,0.0,0.0,0,36
85,ECTA.S19AW,2014.03,29840.0,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,Credit,0,0.0,0.0,0,36
86,ECTA.S19AW,2015.03,31607.8,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,Credit,0,0.0,0.0,0,36
87,ECTA.S19AW,2016.03,34681.6,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,Credit,0,0.0,0.0,0,36
88,ECTA.S19AW,2017.03,39191.6,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,Credit,0,0.0,0.0,0,36
89,ECTA.S19AW,2018.03,46065.7,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,Credit,0,0.0,0.0,0,36
90,ECTA.S19AW,2019.03,50302.3,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,Credit,0,0.0,0.0,0,36
91,ECTA.S19AW,2020.03,52670.7,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,Credit,0,0.0,0.0,0,36
92,ECTA.S19AW,2021.03,55518.7,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,Credit,0,0.0,0.0,0,36
93,ECTA.S19AW,2022.03,61696.6,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,Credit,0,0.0,0.0,0,36
94,ECTA.S19AW,2023.03,71169.1,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,Credit,0,0.0,0.0,0,36
95,ECTA.S19AW,2024.03,74007.9,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,Credit,0,0.0,0.0,0,36
96,ECTA.S19AX,2001.03,0.0,0,C,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,Debit,0,0.0,0.0,0,36
97,ECTA.S19AX,2002.03,0.0,0,C,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,Debit,0,0.0,0.0,0,36
98,ECTA.S19AX,2003.03,0.0,0,C,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,Debit,0,0.0,0.0,0,36
99,ECTA.S19AX,2004.03,20571.1,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,Debit,0,0.0,0.0,0,36
100,ECTA.S19AX,2005.03,22274.9,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,Debit,0,0.0,0.0,0,36
101,ECTA.S19AX,2006.03,24093.1,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,Debit,0,0.0,0.0,0,36
102,ECTA.S19AX,2007.03,26344.6,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,Debit,0,0.0,0.0,0,36
103,ECTA.S19AX,2008.03,28686.8,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,Debit,0,0.0,0.0,0,36
104,ECTA.S19AX,2009.03,30094.4,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,Debit,0,0.0,0.0,0,36
105,ECTA.S19AX,2010.03,31841.8,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,Debit,0,0.0,0.0,0,36
106,ECTA.S19AX,2011.03,33773.3,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,Debit,0,0.0,0.0,0,36
107,ECTA.S19AX,2012.03,36203.5,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,Debit,0,0.0,0.0,0,36
108,ECTA.S19AX,2013.03,37792.0,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,Debit,0,0.0,0.0,0,36
109,ECTA.S19AX,2014.03,39407.1,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,Debit,0,0.0,0.0,0,36
110,ECTA.S19AX,2015.03,40712.5,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,Debit,0,0.0,0.0,0,36
111,ECTA.S19AX,2016.03,41807.0,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,Debit,0,0.0,0.0,0,36
112,ECTA.S19AX,2017.03,42142.5,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,Debit,0,0.0,0.0,0,36
113,ECTA.S19AX,2018.03,41618.6,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,Debit,0,0.0,0.0,0,36
114,ECTA.S19AX,2019.03,41143.5,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,Debit,0,0.0,0.0,0,36
115,ECTA.S19AX,2020.03,41298.0,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,Debit,0,0.0,0.0,0,36
116,ECTA.S19AX,2021.03,34397.4,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,Debit,0,0.0,0.0,0,36
117,ECTA.S19AX,2022.03,33128.3,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,Debit,0,0.0,0.0,0,36
118,ECTA.S19AX,2023.03,34748.7,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,Debit,0,0.0,0.0,0,36
119,ECTA.S19AX,2024.03,35985.5,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Total values - Electronic card transactions A/S/T by division,Actual,Debit,0,0.0,0.0,0,36
120,ECTA.S1GA1,2001.03,0.0,0,C,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Values - Electronic card transactions A/S/T by industry group,Actual,Consumables,0,0.0,0.0,0,36
121,ECTA.S1GA1,2002.03,0.0,0,C,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Values - Electronic card transactions A/S/T by industry group,Actual,Consumables,0,0.0,0.0,0,36
122,ECTA.S1GA1,2003.03,0.0,0,C,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Values - Electronic card transactions A/S/T by industry group,Actual,Consumables,0,0.0,0.0,0,36
123,ECTA.S1GA1,2004.03,9753.9,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Values - Electronic card transactions A/S/T by industry group,Actual,Consumables,0,0.0,0.0,0,36
124,ECTA.S1GA1,2005.03,10471.4,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Values - Electronic card transactions A/S/T by industry group,Actual,Consumables,0,0.0,0.0,0,36
125,ECTA.S1GA1,2006.03,11360.4,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Values - Electronic card transactions A/S/T by industry group,Actual,Consumables,0,0.0,0.0,0,36
126,ECTA.S1GA1,2007.03,12358.4,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Values - Electronic card transactions A/S/T by industry group,Actual,Consumables,0,0.0,0.0,0,36
127,ECTA.S1GA1,2008.03,13299.6,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Values - Electronic card transactions A/S/T by industry group,Actual,Consumables,0,0.0,0.0,0,36
128,ECTA.S1GA1,2009.03,14203.1,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Values - Electronic card transactions A/S/T by industry group,Actual,Consumables,0,0.0,0.0,0,36
129,ECTA.S1GA1,2010.03,15223.4,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Values - Electronic card transactions A/S/T by industry group,Actual,Consumables,0,0.0,0.0,0,36
130,ECTA.S1GA1,2011.03,16075.6,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Values - Electronic card transactions A/S/T by industry group,Actual,Consumables,0,0.0,0.0,0,36
131,ECTA.S1GA1,2012.03,17325.0,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Values - Electronic card transactions A/S/T by industry group,Actual,Consumables,0,0.0,0.0,0,36
132,ECTA.S1GA1,2013.03,17972.9,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Values - Electronic card transactions A/S/T by industry group,Actual,Consumables,0,0.0,0.0,0,36
133,ECTA.S1GA1,2014.03,18492.6,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Values - Electronic card transactions A/S/T by industry group,Actual,Consumables,0,0.0,0.0,0,36
134,ECTA.S1GA1,2015.03,19560.4,0,F,Dollars,6,Electronic Card Transactions (ANZSIC06) - ECT,Values - Electronic card transactions A/S/T by industry group,Actual,Consumables,0,0.0,0.0,0,36
